Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Max Planck Institute for the Science of Human History "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Period covered by Report:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014-01-01 to 2014-12-31	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Date run:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2015-06-12	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Fabula (fabl)	De Gruyter	De Gruyter Online	""	fabl	0014-6242	1316-0464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Folia Linguistica (flin)	De Gruyter	De Gruyter Online	""	flin	0165-4004	1614-7308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forum Mathematicum (form)	De Gruyter	De Gruyter Online	""	form	0933-7741	1435-5337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frühmittelalterliche Studien (fmst)	De Gruyter	De Gruyter Online	""	fmst	0071-9706	1613-0812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgian Mathematical Journal (gmj)	De Gruyter	De Gruyter Online	""	gmj	1072-947X	1572-9176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Germanistik (germ)	De Gruyter	De Gruyter Online	""	germ	0016-8912	1865-9187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Green (green)	De Gruyter	De Gruyter Online	""	green	1869-876X	1869-8778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Green Processing and Synthesis (gps)	De Gruyter	De Gruyter Online	""	gps	2191-9542	2191-9550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Historische Anthropologie (ha)	De Gruyter	De Gruyter Online	""	ha	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Historische Zeitschrift (hzhz)	De Gruyter	De Gruyter Online	""	hzhz	0018-2613	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holzforschung (hfsg)	De Gruyter	De Gruyter Online	""	hfsg	0018-3830	1437-434X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hormone Molecular Biology and Clinical Investigation (hmbci)	De Gruyter	De Gruyter Online	""	hmbci	1868-1883	1868-1891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Humor (humr)	De Gruyter	De Gruyter Online	""	humr	0933-1719	1613-3722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iberoromania (iber)	De Gruyter	De Gruyter Online	""	iber	0019-0993	1865-9039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indogermanische Forschungen (indo)	De Gruyter	De Gruyter Online	""	indo	0019-7262	1613-0405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Information - Wissenschaft & Praxis (iwp)	De Gruyter	De Gruyter Online	""	iwp	1434-4653	1619-4292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intercultural Pragmatics (iprg)	De Gruyter	De Gruyter Online	""	iprg	1612-295X	1613-365X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International African Bibliography (iabi)	De Gruyter	De Gruyter Online	""	iabi	0020-5877	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International Journal of Nonlinear Sciences and Numerical Simulation (ijnsns)	De Gruyter	De Gruyter Online	""	ijnsns	1565-1339	2191-0294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International Journal of the Sociology of Language (ijsl)	De Gruyter	De Gruyter Online	""	ijsl	0165-2516	1613-3668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
International Review of Applied Linguistics in Language Teaching (iral)	De Gruyter	De Gruyter Online	""	iral	0019-042X	1613-4141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Internationales Archiv für Sozialgeschichte der deutschen Literatur (iasl)	De Gruyter	De Gruyter Online	""	iasl	0340-4528	1865-9128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Issues in Legal Scholarship (ils)	De Gruyter	De Gruyter Online	""	ils	""	1539-8323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jahrbuch der Göttinger Akademie der Wissenschaften (jga)	De Gruyter	De Gruyter Online	""	jga	0373-9767	1868-9191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jahrbuch der Juristischen Zeitgeschichte (jjzg-b)	De Gruyter	De Gruyter Online	""	jjzg-b	1869-6899	1869-6902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jahrbuch für Germanistische Sprachgeschichte (jbgsg)	De Gruyter	De Gruyter Online	""	jbgsg	1869-7038	1869-7046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jahrbuch für Wissenschaft und Ethik (jfwe)	De Gruyter	De Gruyter Online	""	jfwe	1430-9017	1613-1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal der Juristischen Zeitgeschichte (jjzg)	De Gruyter	De Gruyter Online	""	jjzg	1863-9984	1868-8810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Journal for the History of Modern Theology
Zeitschrift für Neuere Theologiegeschichte (znth)"	De Gruyter	De Gruyter Online	""	znth	0943-7592	1612-9776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal für die reine und angewandte Mathematik (crll)	De Gruyter	De Gruyter Online	""	crll	0075-4102	1435-5345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of African Languages and Linguistics (jall)	De Gruyter	De Gruyter Online	""	jall	0167-6164	1613-3811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Applied Analysis (jaa)	De Gruyter	De Gruyter Online	""	jaa	1425-6908	1869-6082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Applied Geodesy (jag)	De Gruyter	De Gruyter Online	""	jag	1862-9016	1862-9024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Basic & Clinical Physiology & Pharmacology (jbcpp)	De Gruyter	De Gruyter Online	""	jbcpp	0792-6885	2191-0286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of European Tort Law (jetl)	De Gruyter	De Gruyter Online	""	jetl	1868-9612	1868-9620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Group Theory (jgth)	De Gruyter	De Gruyter Online	""	jgth	1433-5883	1435-4446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Intelligent Systems (jisys)	De Gruyter	De Gruyter Online	""	jisys	0334-1860	2191-026X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Inverse and III-posed Problems (jiip)	De Gruyter	De Gruyter Online	""	jiip	0928-0219	1569-3945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Literary Semantics (jlse)	De Gruyter	De Gruyter Online	""	jlse	0341-7638	1613-3838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Literary Theory (jlt)	De Gruyter	De Gruyter Online	""	jlt	1862-5290	1862-8990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Mathematical Cryptology (jmc)	De Gruyter	De Gruyter Online	""	jmc	1862-2976	1862-2984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Non-Equilibrium Thermodynamics (jnet)	De Gruyter	De Gruyter Online	""	jnet	0340-0204	1437-4358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Numerical Mathematics (jnma)	De Gruyter	De Gruyter Online	""	jnma	1570-2820	1569-3953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Optical Communications (joc)	De Gruyter	De Gruyter Online	""	joc	0173-4911	2191-6322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Perinatal Medicine (jpme)	De Gruyter	De Gruyter Online	""	jpme	0300-5577	1619-3997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Politeness Research (jplr)	De Gruyter	De Gruyter Online	""	jplr	1612-5681	1613-4877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JURA - Juristische Ausbildung (jura)	De Gruyter	De Gruyter Online	""	jura	0170-1452	""	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Juristische Rundschau (juru)	De Gruyter	De Gruyter Online	""	juru	0022-6920	1612-7064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kadmos (kadm)	De Gruyter	De Gruyter Online	""	kadm	0022-7498	1613-0723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kant Yearbook (kantyb)	De Gruyter	De Gruyter Online	""	kantyb	1868-4599	1868-4602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kant-Studien (kant)	De Gruyter	De Gruyter Online	""	kant	0022-8877	1613-1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kierkegaard Studies Yearbook (kier)	De Gruyter	De Gruyter Online	""	kier	1430-5372	1612-9792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Laboratoriumsmedizin (labm)	De Gruyter	De Gruyter Online	""	labm	0342-3026	1439-0477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Laboratory Phonology (labphon)	De Gruyter	De Gruyter Online	""	labphon	1868-6346	1868-6354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
